record,vertice,latitude,longitude
50,1,43.68,-70
50,2,43.34,-70
50,3,43.12,-70
50,4,42.62,-70.53
50,5,42.9,-70.78
51,1,43.9,-68.98
51,2,43.32,-68.75
51,3,43.34,-70
51,4,43.68,-70
52,1,44.41,-67.6
52,2,44,-67
52,3,44,-67.73
52,4,43.32,-68.75
52,5,43.9,-68.98
53,1,44.6,-66.78
53,2,44.31,-66.4
53,3,44.21,-66.5
53,4,44,-67
53,5,44.41,-67.6
53,6,44.57,-67.22
54,1,45.09,-66.15
54,2,44.7,-65.8
54,3,44.31,-66.4
54,4,44.6,-66.78
54,5,44.89,-66.68
55,1,45.49,-65.08
55,2,45.16,-64.82
55,3,44.7,-65.8
55,4,45.09,-66.15
56,1,42.11,-69.88
56,2,41.73,-69.32
56,3,41.62,-69.4
56,4,41.16,-69.01
56,5,41,-69.1
56,6,41.5744,-69.66
56,7,41.718,-69.8
56,8,41.8,-69.88
56,9,42.11,-70.1
57,1,41.718,-69.8
57,2,41.5744,-69.66
57,3,41.23,-69.97
57,4,41.23,-70.5
57,5,41.54,-70.5
57,6,41.65,-70.15
58,1,41.5744,-69.66
58,2,41,-69.1
58,3,40.57,-69.21
58,4,40.59,-69.56
58,5,40.64,-70.5
58,6,41.23,-70.5
58,7,41.23,-69.97
59,1,41.16,-69.01
59,2,41.08,-68.82
59,3,40.6,-68.69
59,4,40.57,-69.21
59,5,41,-69.1
60,1,40.59,-69.56
60,2,40.05,-69.56
60,3,40.06,-70.5
60,4,40.64,-70.5
61,1,40.6,-68.69
61,2,40.23,-68.6
61,3,40.04,-69.25
61,4,40.05,-69.56
61,5,40.59,-69.56
61,6,40.57,-69.21
62,1,40.23,-68.6
62,2,39.56,-68.155
62,3,38.965,-70.155
62,4,40.06,-70.5
62,5,40.04,-69.25
63,1,39.56,-68.155
63,2,38.89,-67.71
63,3,37.87,-69.81
63,4,38.965,-70.155
64,1,41.03,-66.57
64,2,40.575,-66.14
64,3,39.56,-68.155
64,4,40.23,-68.6
64,5,40.69,-66.98
65,1,40.575,-66.14
65,2,40.1,-65.71
65,3,38.89,-67.71
65,4,39.56,-68.155
66,1,46.625,-60.35
66,2,46.925,-59.9333
66,3,47.15,-60.2833
66,4,47.0333,-60.4583
67,1,46.925,-59.9333
67,2,47.15,-60.2833
67,3,47.455,-59.8417
67,4,47.2383,-59.4917
67,5,47.0033,-59.825
68,1,47.2383,-59.4917
68,2,47.455,-59.8417
68,3,47.8033,-59.3583
68,4,47.5833,-59.0167
