record,vertice,latitude,longitude
61,22,43.2,-61.8
61,23,43.2,-61.6
61,24,43.2,-61.4
61,25,43.4,-61.2
61,26,43.4,-61
61,27,43.4,-60.8
61,28,43.4,-60.6
61,29,43.6,-60.4
61,30,43.6,-60.2
61,31,43.6,-60
61,32,43.6,-59.8
61,33,43.8,-59.6
61,34,43.8,-59.4
61,35,43.8,-59.2
61,36,44,-59.2
61,37,44,-58.8
61,38,44.2,-58.6
61,39,44.2,-58.2
61,40,44.4,-58
61,41,44.4,-57.8
61,42,44.4,-57.6
61,43,44.6,-57.4
61,44,44.8,-57.4
61,45,45,-57.6
61,46,45.2,-57.8
61,47,45.4,-57.8
61,48,45.6,-58
61,49,45.8,-58.2
61,50,45.8,-58.4
61,51,46,-58.6
61,52,46,-58.8
61,53,46.2,-59
61,54,46.4,-59.22
61,55,46.4,-59.4
61,56,46.6,-59.6
61,57,46.6,-59.8
61,58,46.4,-59.8
61,59,46.2,-59.6
61,60,46,-59.6
61,61,45.8,-59.6
61,62,45.6,-59.8
61,63,45.4,-60
61,64,45.4,-60.2
61,65,45.2,-60.4
61,66,45.2,-60.6
61,67,45,-60.8
61,68,45,-61
61,69,45,-61.2
61,70,44.8,-61.4
61,71,44.8,-61.6
61,72,44.6,-61.8
61,73,44.6,-62
61,74,44.6,-62.2
61,75,44.6,-62.4
61,76,44.4,-62.6
61,77,44.4,-62.8
61,78,44.4,-63
61,79,44.2,-63.2
61,80,44.2,-63.4
61,81,44.2,-63.6
61,82,44,-63.8
61,83,44,-64
61,84,43.8,-64.2
61,85,43.8,-64.4
61,86,43.6,-64.6
61,87,43.4,-64.8
61,88,43.4,-65
62,1,42.13,-65.55
62,2,42.56,-66.1
62,3,42.79,-67
62,4,42.88,-66.62
62,5,43.1,-66.52
62,6,43.16,-65.6
62,7,43.4,-65.61
62,8,43.71,-64.97
62,9,44.061,-64.25
62,10,44.3058,-63.75
62,11,44.55,-63.25
62,12,45.02,-61.73
62,13,45.2316,-61.31
62,14,45.18,-61.16
62,15,45.25,-60.93
62,16,45.36,-60.93
62,17,45.989,-59.825
62,18,46.38,-59.03
62,19,46.02,-58.5
62,20,45.82,-58.2
62,21,45.12,-57.6
62,22,44.45,-57.06
62,23,43.91,-58.88
62,24,43.9,-58.97
62,25,43.3,-61
62,26,43.01,-61.82
62,27,42.96,-62.2
62,28,42.91,-62.77
62,29,42.79,-63.85
62,30,42.73,-64.23
62,31,42.42,-64.95
62,32,42.13,-65.55
